original_name,clean_name_x,url,source_url,land_size_sqm,master_plan_gfa_sqm,master_plan_plot_ratio,project_name,street_name,postal_code_x,property_type,tenure,district_planning_area,completion,number_of_units,historical_high,indicative_average_price_from_historical_high,historical_low,buyer_profile_by_residential_status,buyer_profile_by_purchaser_address,indicative_price_range_average,indicative_rental_range_average,implied_rental_yield,developer,age_years,architect,main_contractor,status,clean_name_y,address,postal_code_y,latitude,longitude,blk_no,road_name,search_query,nearest_mrt,mrt_distance,mrt_station_code
PATERSON RESIDENCE,paterson-residence,https://www.edgeprop.sg/condo-apartment/paterson-residence,https://www.edgeprop.sg/condo-apartment/paterson-residence,"7,776","16,330",2.1,PATERSON RESIDENCE,Paterson Road,"238543, 238544, 238545, 238546, 238547, 238548, 238549",Condominium,Freehold,D9 / River Valley,2008,110 units,"S$ 2,775 psf in Oct 2010 for a 1,658-sqft unit",-4.1%,"S$ 1,155 psf in Dec 2005 for a 969-sqft unit","Singaporean 46.7%, PR 16.2%, Foreigner 27.5%, Company 9.6%","HDB 11.9%, Private 88.1%","S$ 2,565 - S$ 2,719 psf / S$ 2,662 psf",S$ 4.7 - S$ 6.3 psf pm / S$ 5.5 psf pm,2.5%,FIRST CAPITAL REALTY PTE LTD,17.0,CPG CONSULTANTS PTE LTD,CHINA CONSTRUCTION (SOUTH PACIFIC) DEVELOPMENT CO PTE LTD,,paterson-residence,83 PATERSON ROAD PATERSON RESIDENCE SINGAPORE 238549,238549,1.30008754264075,103.830070920648,83,PATERSON ROAD,PATERSON RESIDENCE,ORCHARD MRT STATION,314.974104803745,Exit 12
GRACE COURT,grace-court,https://www.edgeprop.sg/condo-apartment/grace-court,https://www.edgeprop.sg/condo-apartment/grace-court,"1,863",,,GRACE COURT,WOO MON CHEW ROAD,455059,Apartment,Freehold,D15 / Bedok,1974,10 units,"S$ 1,245 psf in Feb 2022 for a 1,485-sqft unit",0.0%,"S$ 1,245 psf in Feb 2022 for a 1,485-sqft unit","Singaporean 0.0%, PR 100.0%, Foreigner 0.0%, Company 0.0%","HDB 0.0%, Private 100.0%","S$ 1,245 - S$ 1,245 psf / S$ 1,245 psf",,,,,,,,grace-court,7 WOO MON CHEW ROAD GRACE COURT SINGAPORE 455059,455059,1.31431126151618,103.928972680331,7,WOO MON CHEW ROAD,GRACE COURT,BEDOK MRT STATION,1029.5773201714696,Exit A
DUKES RESIDENCE,dukes-residence,https://www.edgeprop.sg/condo-apartment/dukes-residence,https://www.edgeprop.sg/condo-apartment/dukes-residence,"3,100","4,340",1.4,DUKES RESIDENCE,Duke's Road,"268906, 268908","Apartment, Condominium",Freehold,D10 / Bukit Timah,2011,42 units,"S$ 2,397 psf in Oct 2024 for a 1,076-sqft unit",-16.4%,"S$ 1,500 psf in Sep 2009 for a 1,668-sqft unit","Singaporean 84.4%, PR 9.4%, Foreigner 3.1%, Company 3.1%","HDB 15.6%, Private 84.4%","S$ 1,644 - S$ 2,397 psf / S$ 2,005 psf",S$ 3.7 - S$ 5.7 psf pm / S$ 4.4 psf pm,2.6%,MANSTON LAND PTE LTD,14.0,,,,dukes-residence,25 DUKE'S ROAD DUKES RESIDENCE SINGAPORE 268906,268906,1.32154779808392,103.811286641965,25,DUKE'S ROAD,DUKES RESIDENCE,BOTANIC GARDENS MRT STATION,424.6516729743244,Exit A
MARINA BAY SUITES,marina-bay-suites,https://www.edgeprop.sg/condo-apartment/marina-bay-suites,https://www.edgeprop.sg/condo-apartment/marina-bay-suites,"5,290","47,800",9.04,MARINA BAY SUITES,Central Boulevard,018965,Condominium,99 Yrs From 08/03/2007,D1 / Downtown Core,2013,221 units,"S$ 3,409 psf in Oct 2012 for a 5,662-sqft unit",-43.7%,"S$ 1,694 psf in Jul 2024 for a 2,067-sqft unit","Singaporean 44.2%, PR 16.0%, Foreigner 30.1%, Company 7.1%","HDB 5.2%, Private 94.8%","S$ 1,694 - S$ 2,036 psf / S$ 1,918 psf",S$ 5.1 - S$ 7.2 psf pm / S$ 6.0 psf pm,3.8%,MARINA BAY SUITES PTE LTD,12.0,ARCHITECTS 61 PTE LTD,ZAP PILING PTE LTD,,marina-bay-suites,3 CENTRAL BOULEVARD MARINA BAY SUITES SINGAPORE 018965,018965,1.28034497999593,103.852143277672,3,CENTRAL BOULEVARD,MARINA BAY SUITES,DOWNTOWN MRT STATION,68.72512314560234,Exit F
IRWELL HILL RESIDENCES,irwell-hill-residences,https://www.edgeprop.sg/condo-apartment/irwell-hill-residences,https://www.edgeprop.sg/condo-apartment/irwell-hill-residences,"12,787","35,809",2.8,Irwell Hill Residences,Irwell Hill,"239588, 239589, 239590",Apartment,99 yrs from 13/04/2020,D9 / River Valley,2024,540 units,"S$ 4,123 psf in Apr 2021 for a 2,185-sqft unit",-29.7%,"S$ 2,282 psf in Mar 2023 for a 614-sqft unit","Singaporean 74.6%, PR 16.0%, Foreigner 9.0%, Company 0.4%","HDB 22.7%, Private 77.3%","S$ 2,491 - S$ 3,341 psf / S$ 2,898 psf",S$ 5.7 - S$ 10.9 psf pm / S$ 8.5 psf pm,3.5%,CDL PERSEUS PTE LTD,1.0,,,,irwell-hill-residences,6 IRWELL HILL IRWELL HILL RESIDENCES SINGAPORE 239590,239590,1.29666872281334,103.831612635106,6,IRWELL HILL,IRWELL HILL RESIDENCES,GREAT WORLD MRT STATION,173.55828301469532,Exit 4
MULBERRY TREE,mulberry-tree,https://www.edgeprop.sg/condo-apartment/mulberry-tree,https://www.edgeprop.sg/condo-apartment/mulberry-tree,"1,262","1,767",1.4,MULBERRY TREE,Moulmein Road,308092,Apartment,Freehold,D11 / Novena,2010,32 units,"S$ 1,858 psf in Jun 2014 for a 441-sqft unit",-7.6%,"S$ 1,032 psf in Oct 2008 for a 1,356-sqft unit","Singaporean 85.0%, PR 13.3%, Foreigner 1.7%, Company 0.0%","HDB 48.3%, Private 51.7%","S$ 1,716 - S$ 1,716 psf / S$ 1,716 psf",S$ 3.7 - S$ 7.3 psf pm / S$ 5.5 psf pm,3.9%,BRAVO BUILDING CONSTRUCTION PTE LTD,15.0,,,,mulberry-tree,167 MOULMEIN ROAD MULBERRY TREE SINGAPORE 308092,308092,1.31818439913906,103.846394220029,167,MOULMEIN ROAD,MULBERRY TREE,NOVENA MRT STATION,389.2478679384895,Exit B
MELROSE VILLE,melrose-ville,https://www.edgeprop.sg/condo-apartment/melrose-ville,https://www.edgeprop.sg/condo-apartment/melrose-ville,"1,318","1,845",1.4,MELROSE VILLE,Rose Lane,437370,Apartment,Freehold,D15 / Geylang,2011,28 units,"S$ 1,558 psf in Dec 2013 for a 517-sqft unit",-3.1%,"S$ 761 psf in Apr 2010 for a 2,088-sqft unit","Singaporean 80.0%, PR 12.7%, Foreigner 5.5%, Company 1.8%","HDB 49.1%, Private 50.9%","S$ 1,510 - S$ 1,510 psf / S$ 1,510 psf",S$ 4.4 - S$ 6.2 psf pm / S$ 5.2 psf pm,4.1%,TKE DEVELOPMENT PTE LTD,14.0,,,,melrose-ville,10 ROSE LANE MELROSE VILLE SINGAPORE 437370,437370,1.31060237610127,103.893263790865,10,ROSE LANE,MELROSE VILLE,DAKOTA MRT STATION,482.6926793277877,Exit A
PARKVIEW ECLAT,parkview-eclat,https://www.edgeprop.sg/condo-apartment/parkview-eclat,https://www.edgeprop.sg/condo-apartment/parkview-eclat,"5,417","11,377",2.1,PARKVIEW ECLAT,Grange Road,249617,Condominium,Freehold,D10 / River Valley,2009,35 units,"S$ 4,180 psf in Jun 2007 for a 3,251-sqft unit",-20.7%,"S$ 2,399 psf in Sep 2016 for a 3,251-sqft unit","Singaporean 28.9%, PR 18.4%, Foreigner 31.6%, Company 21.1%","HDB 0.0%, Private 100.0%","S$ 3,315 - S$ 3,315 psf / S$ 3,315 psf",S$ 5.8 - S$ 6.0 psf pm / S$ 5.9 psf pm,2.1%,STREAM AHEAD PTE LTD,16.0,ONG & ONG ARCHITECTS PTE LTD,WEE HUR CONSTRUCTION PTE LTD,,parkview-eclat,138 GRANGE ROAD PARKVIEW ÉCLAT SINGAPORE 249617,249617,1.3008616582447,103.824147183227,138,GRANGE ROAD,PARKVIEW ÉCLAT,ORCHARD BOULEVARD MRT STATION,180.27950389003877,Exit 2
EUHABITAT,euhabitat,https://www.edgeprop.sg/condo-apartment/euhabitat,https://www.edgeprop.sg/condo-apartment/euhabitat,"41,261","57,766",1.4,EUHABITAT,Jalan Eunos,"415816, 415817, 415818, 415819, 415820, 415821, 415822, 415823, 415824, 415825, 415826, 415827, 415828, 415829, 415830, 415831, 415832, 415833, 415834, 415835, 415836, 415837, 415838, 415839, 415840, 415841, 415842, 415843, 415844, 415845, 415846, 415847, 415848, 415849, 415850, 415851, 415852, 415853, 415854, 415855, 415856, 415857, 415858, 415859, 415860, 415861, 415862, 415863, 415864, 415865, 415866, 415867, 415868, 415869, 415870, 415871, 415872, 415873, 419537, 419538, 419539, 419540, 419541, 419542, 419543, 419544, 419545, 419546, 419547, 419548, 419549, 419550, 419551, 419552",Condominium,99 Yrs From 06/12/2010,D14 / Bedok,2015,697 condos and 51 landed units,"S$ 1,586 psf in Apr 2025 for a 1,141-sqft unit",-9.6%,"S$ 853 psf in Aug 2011 for a 1,335-sqft unit","Singaporean 54.1%, PR 19.4%, Foreigner 26.1%, Company 0.5%","HDB 44.0%, Private 56.0%","S$ 1,273 - S$ 1,586 psf / S$ 1,434 psf",S$ 2.6 - S$ 6.6 psf pm / S$ 4.8 psf pm,4.1%,OPH MARYMOUNT LTD/TRANSURBAN PROPERTIES PTE LTD,10.0,,,,euhabitat,214 JALAN EUNOS EUHABITAT SINGAPORE 419551,419551,1.32758458776964,103.907691468201,214,JALAN EUNOS,EUHABITAT,KAKI BUKIT MRT STATION,831.7449873281009,Exit B
AUREA,aurea,https://www.edgeprop.sg/condo-apartment/aurea,https://www.edgeprop.sg/condo-apartment/aurea,,,,Aurea,Beach Road,199980,Apartment,99 yrs from 18/11/2024,D7 / Downtown Core,2029,188 units,"S$ 3,691 psf in Jun 2025 for a 3,251-sqft unit",-18.9%,"S$ 2,736 psf in Mar 2025 for a 710-sqft unit","Singaporean 92.3%, PR 7.7%, Foreigner 0.0%, Company 0.0%","HDB 33.3%, Private 66.7%","S$ 2,736 - S$ 3,691 psf / S$ 2,993 psf",,,Pre 17 Pte Ltd,-4.0,,,,aurea,802 BEACH ROAD AUREA (U/C) SINGAPORE 199980,199980,1.30308236254436,103.865743137914,802,BEACH ROAD,AUREA (U/C),NICOLL HIGHWAY MRT STATION,408.34536017810126,Exit A
SEMBAWANG COTTAGE,sembawang-cottage,https://www.edgeprop.sg/condo-apartment/sembawang-cottage,https://www.edgeprop.sg/condo-apartment/sembawang-cottage,"2,636","3,691",1.4,SEMBAWANG COTTAGE,Sembawang Road,758382,Apartment,Freehold,D27 / Mandai,1997,20 units,"S$ 950 psf in Jul 2013 for a 1,884-sqft unit",-5.3%,"S$ 265 psf in Jun 2007 for a 1,884-sqft unit","Singaporean 97.2%, PR 2.8%, Foreigner 0.0%, Company 0.0%","HDB 44.1%, Private 55.9%",S$ 900 - S$ 900 psf / S$ 900 psf,S$ 2.1 - S$ 4.2 psf pm / S$ 3.5 psf pm,4.7%,,,,,,sembawang-cottage,369 SEMBAWANG ROAD SEMBAWANG COTTAGE SINGAPORE 758382,758382,1.42690781299771,103.826051896017,369,SEMBAWANG ROAD,SEMBAWANG COTTAGE,YISHUN MRT STATION,1009.3182227916448,Exit A
JADE GARDEN,jade-garden,https://www.edgeprop.sg/condo-apartment/jade-garden,https://www.edgeprop.sg/condo-apartment/jade-garden,,"2,100",,JADE GARDEN,Robin Road,"258201, 258202",Apartment,Freehold,D10 / Tanglin,2012,12 units,"S$ 2,067 psf in Mar 2025 for a 1,862-sqft unit",0.0%,"S$ 660 psf in Nov 1995 for a 1,970-sqft unit","Singaporean 72.7%, PR 27.3%, Foreigner 0.0%, Company 0.0%","HDB 27.3%, Private 72.7%","S$ 2,067 - S$ 2,067 psf / S$ 2,067 psf",S$ 4.8 - S$ 4.8 psf pm / S$ 4.8 psf pm,2.8%,,13.0,,,,jade-garden,33 KANG CHOO BIN WALK JADE VINE GARDENS SINGAPORE 548253,548253,1.36523567702046,103.880641845146,33,KANG CHOO BIN WALK,JADE VINE GARDENS,KOVAN MRT STATION,720.0891618005521,Exit B
AIRSTREAM,airstream,https://www.edgeprop.sg/condo-apartment/airstream,https://www.edgeprop.sg/condo-apartment/airstream,137,385,2.8,AIRSTREAM,ST. MICHAEL'S ROAD,327994,Apartment,Freehold,D12 / Kallang,2012,70 units,"S$ 1,687 psf in Dec 2022 for a 334-sqft unit",-9.4%,S$ 989 psf in Sep 2009 for a 624-sqft unit,"Singaporean 68.0%, PR 24.2%, Foreigner 7.8%, Company 0.0%","HDB 56.9%, Private 43.1%","S$ 1,318 - S$ 1,662 psf / S$ 1,528 psf",S$ 4.1 - S$ 8.0 psf pm / S$ 5.7 psf pm,4.4%,MILLENNIUM HOMES (SINGAPORE) PTE LTD,13.0,RONNY CHIN & ASSOCIATES,ADMIN CONSTRUCTION PTE LTD,,airstream,26 SAINT MICHAEL'S ROAD AIRSTREAM SINGAPORE 327994,327994,1.32732661439014,103.864035551424,26,SAINT MICHAEL'S ROAD,AIRSTREAM,POTONG PASIR MRT STATION,665.0350063032787,Exit C
THE SUNNYDALE,the-sunnydale,https://www.edgeprop.sg/condo-apartment/the-sunnydale,https://www.edgeprop.sg/condo-apartment/the-sunnydale,"6,545","9,156",1.4,THE SUNNYDALE,SERANGOON AVENUE 3,"556124, 556125",Condominium,99 Yrs From 06/12/1997,D19 / Serangoon,2001,70 units,"S$ 1,353 psf in Feb 2024 for a 1,346-sqft unit",0.0%,"S$ 360 psf in Nov 2005 for a 1,658-sqft unit","Singaporean 86.9%, PR 7.6%, Foreigner 2.8%, Company 0.7%","HDB 52.8%, Private 47.2%","S$ 1,353 - S$ 1,353 psf / S$ 1,353 psf",S$ 3.2 - S$ 4.6 psf pm / S$ 3.7 psf pm,3.3%,MCL LAND (SERANGOON 2) PTE LTD,24.0,DESIGN LINK ARCHITECTS,V3 CONSTRUCTION PTE LTD,,the-sunnydale,21 SERANGOON AVENUE 3 THE SUNNYDALE SINGAPORE 556124,556124,1.34889714500012,103.867279803477,21,SERANGOON AVENUE 3,THE SUNNYDALE,LORONG CHUAN MRT STATION,384.5933927633354,Exit A
SPRINGVALE,springvale,https://www.edgeprop.sg/condo-apartment/springvale,https://www.edgeprop.sg/condo-apartment/springvale,"2,614","7,841",3.0,SPRINGVALE,East Coast Road (and 1 others),459107,Apartment,Freehold,D15 / Bedok,1995,36 units,"S$ 1,672 psf in May 2025 for a 915-sqft unit",0.0%,S$ 437 psf in Sep 2005 for a 915-sqft unit,"Singaporean 91.7%, PR 2.1%, Foreigner 2.1%, Company 4.2%","HDB 45.7%, Private 54.3%","S$ 1,672 - S$ 1,672 psf / S$ 1,672 psf",S$ 2.6 - S$ 3.9 psf pm / S$ 3.3 psf pm,2.4%,,,,,,springvale,907 EAST COAST ROAD SPRINGVALE SINGAPORE 459107,459107,1.31291496683245,103.924721677755,907,EAST COAST ROAD,SPRINGVALE,BEDOK MRT STATION,1283.1509610008472,Exit A
LENTOR CENTRAL RESIDENCES,lentor-central-residences,https://www.edgeprop.sg/condo-apartment/lentor-central-residences,https://www.edgeprop.sg/condo-apartment/lentor-central-residences,"13,444","40,333",,Lentor Central Residences,Lentor Central,"788839, 788838",Condominium,99 yrs from 18/12/2023,D26 / Ang Mo Kio,2028,477 units,"S$ 2,586 psf in Mar 2025 for a 463-sqft unit",-14.1%,"S$ 1,982 psf in Mar 2025 for a 915-sqft unit","Singaporean 90.0%, PR 9.1%, Foreigner 0.6%, Company 0.2%","HDB 40.3%, Private 59.7%","S$ 1,982 - S$ 2,586 psf / S$ 2,222 psf",,,Lentor Central Park Pte Ltd,-3.0,,,"Awarded, URA expected TOP in 2027",lentor-central-residences,20 LENTOR CENTRAL LENTOR CENTRAL RESIDENCES (U/C) SINGAPORE 788838,788838,1.38580586814486,103.832342306693,20,LENTOR CENTRAL,LENTOR CENTRAL RESIDENCES (U/C),LENTOR MRT STATION,338.3297076452858,Exit 1
CHAPEL COURT,chapel-court,https://www.edgeprop.sg/condo-apartment/chapel-court,https://www.edgeprop.sg/condo-apartment/chapel-court,"3,282","4,595",1.4,CHAPEL COURT,Sea Avenue,"424247, 424248",Apartment,Freehold,D15 / Marine Parade,1997,35 units,"S$ 1,537 psf in Nov 2023 for a 1,593-sqft unit",0.0%,"S$ 414 psf in May 2004 for a 1,690-sqft unit","Singaporean 90.7%, PR 5.6%, Foreigner 1.9%, Company 0.0%","HDB 52.8%, Private 47.2%","S$ 1,537 - S$ 1,537 psf / S$ 1,537 psf",S$ 3.1 - S$ 4.0 psf pm / S$ 3.5 psf pm,2.8%,,,,,,chapel-court,27 SEA AVENUE CHAPEL COURT SINGAPORE 424247,424247,1.30548937473146,103.907426569866,27,SEA AVENUE,CHAPEL COURT,EUNOS MRT STATION,1629.919335746824,Exit C
THE SANCTUARY @ GEYLANG,the-sanctuary-geylang,https://www.edgeprop.sg/condo-apartment/the-sanctuary-geylang,https://www.edgeprop.sg/condo-apartment/the-sanctuary-geylang,510,"1,428",2.8,THE SANCTUARY @ GEYLANG,Lorong 30 Geylang,398342,Apartment,Freehold,D14 / Geylang,2014,21 units,"S$ 1,474 psf in May 2023 for a 560-sqft unit",-4.4%,"S$ 857 psf in Sep 2021 for a 1,324-sqft unit","Singaporean 71.0%, PR 29.0%, Foreigner 0.0%, Company 0.0%","HDB 58.1%, Private 41.9%","S$ 1,409 - S$ 1,409 psf / S$ 1,409 psf",S$ 4.0 - S$ 4.9 psf pm / S$ 4.5 psf pm,3.9%,1L30G PTE LTD,11.0,,,,the-sanctuary-geylang,1 LORONG 30 GEYLANG THE SANCTUARY @ GEYLANG SINGAPORE 398342,398342,1.31345709214795,103.886467318231,1,LORONG 30 GEYLANG,THE SANCTUARY @ GEYLANG,ALJUNIED MRT STATION,538.9691526154934,Exit A
CASHEW PARK CONDOMINIUM,cashew-park-condominium,https://www.edgeprop.sg/condo-apartment/cashew-park-condominium,https://www.edgeprop.sg/condo-apartment/cashew-park-condominium,"17,389","24,351",1.4,CASHEW PARK CONDOMINIUM,Cashew Road,"679633, 679635, 679637, 679639, 679641, 679644, 679645, 679646",Condominium,"999 Yrs From 25/09/1882, 999 Yrs Fr 25/09/1882",D23 / Bukit Panjang,1983,148 units,"S$ 1,407 psf in Nov 2023 for a 1,152-sqft unit",-6.8%,"S$ 274 psf in Jan 1997 for a 1,367-sqft unit","Singaporean 82.6%, PR 8.7%, Foreigner 5.1%, Company 2.2%","HDB 44.9%, Private 55.1%","S$ 1,275 - S$ 1,346 psf / S$ 1,311 psf",S$ 2.1 - S$ 3.8 psf pm / S$ 2.9 psf pm,2.7%,,,,,,cashew-park-condominium,70 CASHEW ROAD CASHEW PARK CONDOMINIUM SINGAPORE 679646,679646,1.37058700046984,103.768078891345,70,CASHEW ROAD,CASHEW PARK CONDOMINIUM,CASHEW MRT STATION,435.4964389625103,Exit A
NASSIM MANSION,nassim-mansion,https://www.edgeprop.sg/condo-apartment/nassim-mansion,https://www.edgeprop.sg/condo-apartment/nassim-mansion,"21,165","29,640",1.4,NASSIM MANSION,Nassim Hill,"258472, 258473, 258474, 258475",Apartment,Freehold,D10 / Tanglin,1977,72 units,"S$ 3,540 psf in Aug 2024 for a 3,412-sqft unit",0.0%,"S$ 731 psf in Feb 2004 for a 7,115-sqft unit","Singaporean 36.6%, PR 21.1%, Foreigner 19.7%, Company 22.5%","HDB 0.0%, Private 100.0%","S$ 3,540 - S$ 3,540 psf / S$ 3,540 psf",S$ 4.2 - S$ 4.2 psf pm / S$ 4.2 psf pm,1.4%,,,,,,nassim-mansion,36 NASSIM HILL NASSIM MANSION SINGAPORE 258473,258473,1.30935710858609,103.819746978819,36,NASSIM HILL,NASSIM MANSION,NAPIER MRT STATION,270.8016312526388,Exit 1
NASSIMVILLE,nassimville,https://www.edgeprop.sg/condo-apartment/nassimville,https://www.edgeprop.sg/condo-apartment/nassimville,"2,941","4,118",1.4,NASSIMVILLE,NASSIM ROAD,258378,-,-,D10 / Tanglin,Unknown,21 units,-,-,-,-,-,,,,,,,,,nassimville,11 NASSIM ROAD NASSIMVILLE SINGAPORE 258378,258378,1.30759571835756,103.824842892436,11,NASSIM ROAD,NASSIMVILLE,ORCHARD BOULEVARD MRT STATION,461.5081588850799,Exit 1
TANGLIN VIEW,tanglin-view,https://www.edgeprop.sg/condo-apartment/tanglin-view,https://www.edgeprop.sg/condo-apartment/tanglin-view,"17,513","49,175",2.8,TANGLIN VIEW,Prince Charles Crescent,"159012, 159013, 159014, 159015",Condominium,99 Yrs From 17/05/1997,D3 / Bukit Merah,2001,384 units,"S$ 1,963 psf in Jun 2025 for a 1,141-sqft unit",-8.5%,"S$ 513 psf in Jun 2005 for a 1,755-sqft unit","Singaporean 55.6%, PR 20.8%, Foreigner 22.0%, Company 0.9%","HDB 30.1%, Private 69.9%","S$ 1,456 - S$ 1,963 psf / S$ 1,797 psf",S$ 3.7 - S$ 6.5 psf pm / S$ 4.7 psf pm,3.1%,TANGLIN VIEW PTE LTD,24.0,TAA ARCHITECTS PTE LTD,CHIU TENG CONSTRN CO P L/MULTIPLEX HLDGS (S) P L JV,,tanglin-view,152 PRINCE CHARLES CRESCENT TANGLIN VIEW SINGAPORE 159013,159013,1.29199744950701,103.817880738443,152,PRINCE CHARLES CRESCENT,TANGLIN VIEW,REDHILL MRT STATION,287.9588943010036,Exit B
CASERO @ DUNMAN,casero-dunman,https://www.edgeprop.sg/condo-apartment/casero-dunman,https://www.edgeprop.sg/condo-apartment/casero-dunman,899,"1,259",1.4,CASERO @ DUNMAN,Dunman Road,439192,Apartment,Freehold,D15 / Geylang,2008,15 units,"S$ 1,376 psf in Dec 2021 for a 872-sqft unit",-16.8%,"S$ 874 psf in Sep 2007 for a 1,593-sqft unit","Singaporean 72.4%, PR 13.8%, Foreigner 3.4%, Company 10.3%","HDB 48.3%, Private 51.7%","S$ 1,145 - S$ 1,145 psf / S$ 1,145 psf",S$ 2.4 - S$ 4.6 psf pm / S$ 3.7 psf pm,3.8%,SCAN-BILT DEVELOPMENT PTE LTD,17.0,,,,casero-dunman,489 DUNMAN ROAD CASERO @ DUNMAN SINGAPORE 439192,439192,1.30971379542166,103.893813693492,489,DUNMAN ROAD,CASERO @ DUNMAN,DAKOTA MRT STATION,510.8561312987208,Exit A
111 EMERALD HILL,111-emerald-hill,https://www.edgeprop.sg/condo-apartment/111-emerald-hill,https://www.edgeprop.sg/condo-apartment/111-emerald-hill,"2,770","8,500",3.07,111 EMERALD HILL,Emerald Hill Road,229391,Apartment,Freehold,D9 / Newton,2011,40 units,"S$ 3,030 psf in Jan 2013 for a 2,497-sqft unit",-24.0%,"S$ 1,768 psf in Sep 2019 for a 2,121-sqft unit","Singaporean 50.0%, PR 15.4%, Foreigner 23.1%, Company 11.5%","HDB 2.0%, Private 98.0%","S$ 2,302 - S$ 2,302 psf / S$ 2,302 psf",S$ 4.9 - S$ 6.3 psf pm / S$ 5.6 psf pm,2.9%,EMERALD LAND PTE LTD,14.0,,,,111-emerald-hill,111 EMERALD HILL ROAD 111 EMERALD HILL SINGAPORE 229391,229391,1.30505900921312,103.83923580687,111,EMERALD HILL ROAD,111 EMERALD HILL,SOMERSET MRT STATION,485.0522825679946,Exit B
BALESTIER PLAZA,balestier-plaza,https://www.edgeprop.sg/condo-apartment/balestier-plaza,https://www.edgeprop.sg/condo-apartment/balestier-plaza,"3,799","11,396",3.0,BALESTIER PLAZA,Balestier Road,329802,Apartment,Freehold,D12 / Novena,1983,77 units,"S$ 1,230 psf in Apr 2024 for a 1,625-sqft unit",0.0%,"S$ 305 psf in Jul 2003 for a 1,625-sqft unit","Singaporean 70.4%, PR 17.0%, Foreigner 8.9%, Company 0.7%","HDB 45.9%, Private 54.1%","S$ 1,230 - S$ 1,230 psf / S$ 1,230 psf",S$ 2.4 - S$ 4.2 psf pm / S$ 3.3 psf pm,3.2%,,,,,,balestier-plaza,400 BALESTIER ROAD BALESTIER PLAZA SINGAPORE 329802,329802,1.32572472557093,103.850395374025,400,BALESTIER ROAD,BALESTIER PLAZA,TOA PAYOH MRT STATION,797.0012471768706,Exit B
CASA SOPHIA,casa-sophia,https://www.edgeprop.sg/condo-apartment/casa-sophia,https://www.edgeprop.sg/condo-apartment/casa-sophia,"1,145","2,405",2.1,CASA SOPHIA,Sophia Road,228170,Apartment,Freehold,D9 / Rochor,1994,12 units,"S$ 630 psf in Jul 1999 for a 1,302-sqft unit",199.7%,"S$ 419 psf in Mar 1996 for a 1,313-sqft unit","Singaporean 90.9%, PR 0.0%, Foreigner 0.0%, Company 9.1%","HDB 18.2%, Private 81.8%","S$ 1,888 - S$ 1,888 psf / S$ 1,888 psf",S$ 2.7 - S$ 2.7 psf pm / S$ 2.7 psf pm,1.7%,,,,,,,,,,,,,,,,
GRANDLINK SQUARE,grandlink-square,https://www.edgeprop.sg/condo-apartment/grandlink-square,https://www.edgeprop.sg/condo-apartment/grandlink-square,"5,609","16,828",3.0,GRANDLINK SQUARE,Guillemard Road,399849,Apartment,Freehold,D14 / Geylang,2000,71 units,"S$ 1,376 psf in Mar 2025 for a 1,163-sqft unit",-1.9%,"S$ 313 psf in Aug 1999 for a 1,959-sqft unit","Singaporean 71.8%, PR 10.5%, Foreigner 11.3%, Company 2.4%","HDB 45.0%, Private 55.0%","S$ 1,328 - S$ 1,376 psf / S$ 1,350 psf",S$ 2.8 - S$ 3.6 psf pm / S$ 3.3 psf pm,2.9%,,25.0,,,,grandlink-square,511 GUILLEMARD ROAD GRANDLINK SQUARE SINGAPORE 399849,399849,1.3141912983094,103.891500511011,511,GUILLEMARD ROAD,GRANDLINK SQUARE,PAYA LEBAR MRT STATION,274.086022722047,Exit D
MARTIN NO 38,martin-no-38,https://www.edgeprop.sg/condo-apartment/martin-no-38,https://www.edgeprop.sg/condo-apartment/martin-no-38,"3,807","10,659",2.8,MARTIN NO 38,MARTIN ROAD,"239059, 239072",Apartment,Freehold,D9 / River Valley,2011,88 units,"S$ 2,962 psf in May 2011 for a 1,485-sqft unit",-10.1%,"S$ 1,858 psf in Sep 2009 for a 1,130-sqft unit","Singaporean 60.6%, PR 17.5%, Foreigner 17.5%, Company 4.4%","HDB 5.2%, Private 94.8%","S$ 2,477 - S$ 2,827 psf / S$ 2,663 psf",S$ 6.1 - S$ 8.0 psf pm / S$ 7.0 psf pm,3.2%,KIMMINGSTON PTE LTD,14.0,KERRY HILL ARCHITECTS PTE LTD,DAIYA ENGINEERING & CONSTRUCTION PTE LTD,,martin-no-38,38 MARTIN ROAD MARTIN NO 38 SINGAPORE 239059,239059,1.29213320015397,103.838064913731,38,MARTIN ROAD,MARTIN NO 38,GREAT WORLD MRT STATION,480.97368658155744,Exit 1
